X: (19580, 20, 84)
Y: (19580, 77)
Device: cpu
Epoch 147 | Train 0.029510 | Val 0.034811 | Pred 0.018429 | Latent 0.002420 | Recon 0.013963
Epoch 148 | Train 0.028928 | Val 0.039444 | Pred 0.021663 | Latent 0.002769 | Recon 0.015012
Epoch 149 | Train 0.030031 | Val 0.034700 | Pred 0.018521 | Latent 0.002432 | Recon 0.013747
Epoch 150 | Train 0.028621 | Val 0.035310 | Pred 0.018983 | Latent 0.002492 | Recon 0.013835
Epoch 151 | Train 0.028759 | Val 0.033422 | Pred 0.017887 | Latent 0.002380 | Recon 0.013155
Epoch 152 | Train 0.028385 | Val 0.033535 | Pred 0.017890 | Latent 0.002355 | Recon 0.013291
Epoch 153 | Train 0.028928 | Val 0.034225 | Pred 0.018208 | Latent 0.002342 | Recon 0.013675
Epoch 154 | Train 0.027777 | Val 0.035911 | Pred 0.019475 | Latent 0.002389 | Recon 0.014047
Epoch 155 | Train 0.028642 | Val 0.033997 | Pred 0.018155 | Latent 0.002322 | Recon 0.013520
Epoch 156 | Train 0.028021 | Val 0.035897 | Pred 0.018832 | Latent 0.002341 | Recon 0.014724
Epoch 157 | Train 0.027963 | Val 0.041089 | Pred 0.022841 | Latent 0.002814 | Recon 0.015434
Epoch 158 | Train 0.029044 | Val 0.033216 | Pred 0.017539 | Latent 0.002257 | Recon 0.013420
Epoch 159 | Train 0.027438 | Val 0.032454 | Pred 0.017279 | Latent 0.002273 | Recon 0.012902
Epoch 160 | Train 0.026936 | Val 0.033167 | Pred 0.017749 | Latent 0.002298 | Recon 0.013120
Epoch 161 | Train 0.027968 | Val 0.035271 | Pred 0.018960 | Latent 0.002336 | Recon 0.013976
Epoch 162 | Train 0.027273 | Val 0.036383 | Pred 0.019922 | Latent 0.002475 | Recon 0.013985
Epoch 163 | Train 0.028302 | Val 0.032072 | Pred 0.016951 | Latent 0.002352 | Recon 0.012769
Epoch 164 | Train 0.026776 | Val 0.039495 | Pred 0.022230 | Latent 0.002587 | Recon 0.014678
Epoch 165 | Train 0.028396 | Val 0.033588 | Pred 0.017853 | Latent 0.002273 | Recon 0.013462
