Starting Latent GRU experiment
Training...
wandb: Currently logged in as: 92danyalsultan (IML-Research) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ywjya7u4
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /mnt/parscratch/users/aca22mds/projects/latent-gru-world-model/Latent-GRU-World-Model/wandb/run-20260714_024246-ywjya7u4
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run latent-gru-train-hpc-a100-10825452
wandb: ⭐️ View project at https://wandb.ai/IML-Research/latent-gru-world-model
wandb: 🚀 View run at https://wandb.ai/IML-Research/latent-gru-world-model/runs/ywjya7u4
Using device: cuda
X: (19580, 20, 84)
Y: (19580, 77)
Device: cuda
GPU: NVIDIA A100-SXM4-80GB
Epoch 161 | Train 0.030288 | Val 0.033450 | Pred 0.018208 | Latent 0.002325 | Recon 0.012917
Epoch 162 | Train 0.026540 | Val 0.032371 | Pred 0.017724 | Latent 0.002377 | Recon 0.012270
Epoch 163 | Train 0.025986 | Val 0.031583 | Pred 0.017391 | Latent 0.002362 | Recon 0.011830
Epoch 164 | Train 0.026118 | Val 0.033369 | Pred 0.018188 | Latent 0.002334 | Recon 0.012847
Epoch 165 | Train 0.027383 | Val 0.032587 | Pred 0.017482 | Latent 0.002275 | Recon 0.012830
Epoch 166 | Train 0.026100 | Val 0.032237 | Pred 0.017708 | Latent 0.002312 | Recon 0.012217
Epoch 167 | Train 0.025769 | Val 0.030876 | Pred 0.016764 | Latent 0.002271 | Recon 0.011841
Epoch 168 | Train 0.026487 | Val 0.035565 | Pred 0.020337 | Latent 0.002620 | Recon 0.012608
Epoch 169 | Train 0.027331 | Val 0.032517 | Pred 0.017720 | Latent 0.002226 | Recon 0.012572
Epoch 170 | Train 0.026764 | Val 0.031048 | Pred 0.016696 | Latent 0.002346 | Recon 0.012006
Epoch 171 | Train 0.025696 | Val 0.031163 | Pred 0.016815 | Latent 0.002238 | Recon 0.012111
Epoch 172 | Train 0.025128 | Val 0.032994 | Pred 0.017902 | Latent 0.002234 | Recon 0.012859
Epoch 173 | Train 0.025298 | Val 0.030899 | Pred 0.016607 | Latent 0.002089 | Recon 0.012203
Epoch 174 | Train 0.024873 | Val 0.030880 | Pred 0.016630 | Latent 0.002156 | Recon 0.012094
Epoch 175 | Train 0.024925 | Val 0.030284 | Pred 0.016314 | Latent 0.002143 | Recon 0.011827
Epoch 176 | Train 0.024858 | Val 0.033335 | Pred 0.018577 | Latent 0.002279 | Recon 0.012479
Epoch 177 | Train 0.025846 | Val 0.033367 | Pred 0.017839 | Latent 0.002166 | Recon 0.013363
Epoch 178 | Train 0.024791 | Val 0.032963 | Pred 0.018277 | Latent 0.002258 | Recon 0.012428
Epoch 179 | Train 0.025107 | Val 0.030841 | Pred 0.016834 | Latent 0.002338 | Recon 0.011669
Epoch 180 | Train 0.024517 | Val 0.031416 | Pred 0.017259 | Latent 0.002459 | Recon 0.011698
Epoch 181 | Train 0.024822 | Val 0.032639 | Pred 0.018255 | Latent 0.002498 | Recon 0.011886
