Starting Latent GRU experiment
Training...
wandb: Currently logged in as: 92danyalsultan (IML-Research) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run e5sej2at
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /mnt/parscratch/users/aca22mds/projects/latent-gru-world-model/Latent-GRU-World-Model/wandb/run-20260714_031545-e5sej2at
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run latent-gru-train-hpc-a100-10825543
wandb: ⭐️ View project at https://wandb.ai/IML-Research/latent-gru-world-model
wandb: 🚀 View run at https://wandb.ai/IML-Research/latent-gru-world-model/runs/e5sej2at
Using device: cuda
X: (19580, 20, 84)
Y: (19580, 77)
Device: cuda
GPU: NVIDIA A100-SXM4-80GB
Epoch 127 | Train 0.032778 | Val 0.039081 | Pred 0.020786 | Latent 0.002500 | Recon 0.015795
Epoch 128 | Train 0.032718 | Val 0.038191 | Pred 0.020726 | Latent 0.002384 | Recon 0.015081
Epoch 129 | Train 0.031780 | Val 0.038989 | Pred 0.021093 | Latent 0.002552 | Recon 0.015343
Epoch 130 | Train 0.032721 | Val 0.039708 | Pred 0.021647 | Latent 0.002445 | Recon 0.015615
Epoch 131 | Train 0.032672 | Val 0.038756 | Pred 0.021102 | Latent 0.002509 | Recon 0.015146
Epoch 132 | Train 0.032704 | Val 0.037925 | Pred 0.020633 | Latent 0.002504 | Recon 0.014789
Epoch 133 | Train 0.031960 | Val 0.036489 | Pred 0.019564 | Latent 0.002450 | Recon 0.014475
Epoch 134 | Train 0.031654 | Val 0.038211 | Pred 0.020681 | Latent 0.002491 | Recon 0.015039
Epoch 135 | Train 0.031940 | Val 0.042979 | Pred 0.023548 | Latent 0.002694 | Recon 0.016737
Epoch 136 | Train 0.033303 | Val 0.037495 | Pred 0.020483 | Latent 0.002492 | Recon 0.014520
Epoch 137 | Train 0.030922 | Val 0.037127 | Pred 0.020174 | Latent 0.002452 | Recon 0.014501
Epoch 138 | Train 0.031717 | Val 0.036934 | Pred 0.019881 | Latent 0.002420 | Recon 0.014634
Epoch 139 | Train 0.031285 | Val 0.041118 | Pred 0.022653 | Latent 0.002731 | Recon 0.015734
Epoch 140 | Train 0.031991 | Val 0.038704 | Pred 0.021237 | Latent 0.002507 | Recon 0.014959
Epoch 141 | Train 0.031553 | Val 0.035786 | Pred 0.019534 | Latent 0.002284 | Recon 0.013968
Epoch 142 | Train 0.030590 | Val 0.037464 | Pred 0.020237 | Latent 0.002378 | Recon 0.014849
Epoch 143 | Train 0.030290 | Val 0.036245 | Pred 0.019469 | Latent 0.002364 | Recon 0.014412
Epoch 144 | Train 0.031379 | Val 0.037726 | Pred 0.020720 | Latent 0.002464 | Recon 0.014542
Epoch 145 | Train 0.030991 | Val 0.035842 | Pred 0.019057 | Latent 0.002313 | Recon 0.014472
Epoch 146 | Train 0.029892 | Val 0.039923 | Pred 0.022580 | Latent 0.002693 | Recon 0.014650
Epoch 147 | Train 0.031684 | Val 0.035367 | Pred 0.018975 | Latent 0.002363 | Recon 0.014029
Epoch 148 | Train 0.030171 | Val 0.035422 | Pred 0.019152 | Latent 0.002346 | Recon 0.013924
Epoch 149 | Train 0.029762 | Val 0.035883 | Pred 0.019608 | Latent 0.002331 | Recon 0.013943
Epoch 150 | Train 0.029815 | Val 0.037546 | Pred 0.020712 | Latent 0.002591 | Recon 0.014242
Epoch 151 | Train 0.030184 | Val 0.038056 | Pred 0.020725 | Latent 0.002405 | Recon 0.014926
Epoch 152 | Train 0.030465 | Val 0.034280 | Pred 0.018903 | Latent 0.002342 | Recon 0.013034
Epoch 153 | Train 0.029598 | Val 0.036459 | Pred 0.020117 | Latent 0.002444 | Recon 0.013898
Epoch 154 | Train 0.029522 | Val 0.035710 | Pred 0.019172 | Latent 0.002227 | Recon 0.014311
Epoch 155 | Train 0.028967 | Val 0.035610 | Pred 0.019217 | Latent 0.002355 | Recon 0.014038
Epoch 156 | Train 0.030266 | Val 0.036515 | Pred 0.019943 | Latent 0.002278 | Recon 0.014294
Epoch 157 | Train 0.029733 | Val 0.035812 | Pred 0.020087 | Latent 0.002478 | Recon 0.013247
Epoch 158 | Train 0.029370 | Val 0.033594 | Pred 0.018135 | Latent 0.002271 | Recon 0.013189
Epoch 159 | Train 0.028915 | Val 0.036244 | Pred 0.020000 | Latent 0.002332 | Recon 0.013912
Epoch 160 | Train 0.028991 | Val 0.035562 | Pred 0.019413 | Latent 0.002237 | Recon 0.013912
Epoch 161 | Train 0.028839 | Val 0.035247 | Pred 0.018804 | Latent 0.002143 | Recon 0.014300
Epoch 162 | Train 0.028301 | Val 0.041289 | Pred 0.022864 | Latent 0.002812 | Recon 0.015613
Epoch 163 | Train 0.031685 | Val 0.035253 | Pred 0.018788 | Latent 0.002364 | Recon 0.014102
Epoch 164 | Train 0.028594 | Val 0.033566 | Pred 0.018394 | Latent 0.002219 | Recon 0.012953
Epoch 165 | Train 0.027539 | Val 0.033594 | Pred 0.017958 | Latent 0.002212 | Recon 0.013424
Epoch 166 | Train 0.027696 | Val 0.033361 | Pred 0.017911 | Latent 0.002161 | Recon 0.013289
Epoch 167 | Train 0.028284 | Val 0.035372 | Pred 0.019270 | Latent 0.002398 | Recon 0.013704
Epoch 168 | Train 0.028384 | Val 0.034203 | Pred 0.018712 | Latent 0.002214 | Recon 0.013277
Epoch 169 | Train 0.027766 | Val 0.036443 | Pred 0.019674 | Latent 0.002448 | Recon 0.014322
Epoch 170 | Train 0.028218 | Val 0.031885 | Pred 0.017394 | Latent 0.002065 | Recon 0.012426
Epoch 171 | Train 0.027714 | Val 0.032704 | Pred 0.017587 | Latent 0.002169 | Recon 0.012948
Epoch 172 | Train 0.027282 | Val 0.031292 | Pred 0.017064 | Latent 0.002064 | Recon 0.012165
Epoch 173 | Train 0.027278 | Val 0.032541 | Pred 0.017810 | Latent 0.002087 | Recon 0.012644
Epoch 174 | Train 0.026876 | Val 0.032251 | Pred 0.017394 | Latent 0.002092 | Recon 0.012766
Epoch 175 | Train 0.027620 | Val 0.042802 | Pred 0.022978 | Latent 0.002969 | Recon 0.016855
Epoch 176 | Train 0.030159 | Val 0.031510 | Pred 0.017121 | Latent 0.002131 | Recon 0.012258
Epoch 177 | Train 0.026802 | Val 0.034115 | Pred 0.018492 | Latent 0.002137 | Recon 0.013486
Epoch 178 | Train 0.027205 | Val 0.031765 | Pred 0.017358 | Latent 0.002054 | Recon 0.012354
Epoch 179 | Train 0.026652 | Val 0.032565 | Pred 0.017080 | Latent 0.002202 | Recon 0.013283
Epoch 180 | Train 0.026879 | Val 0.032767 | Pred 0.018000 | Latent 0.002145 | Recon 0.012622
Epoch 181 | Train 0.027258 | Val 0.031653 | Pred 0.017455 | Latent 0.002104 | Recon 0.012094
Epoch 182 | Train 0.026705 | Val 0.040032 | Pred 0.021969 | Latent 0.002221 | Recon 0.015841
Epoch 183 | Train 0.027699 | Val 0.034137 | Pred 0.018995 | Latent 0.002254 | Recon 0.012887
Epoch 184 | Train 0.027137 | Val 0.032428 | Pred 0.017606 | Latent 0.002064 | Recon 0.012758
Epoch 185 | Train 0.026148 | Val 0.032396 | Pred 0.017989 | Latent 0.002037 | Recon 0.012370
Epoch 186 | Train 0.026366 | Val 0.030871 | Pred 0.016685 | Latent 0.002012 | Recon 0.012174
Epoch 187 | Train 0.027523 | Val 0.035307 | Pred 0.019756 | Latent 0.002358 | Recon 0.013193
Epoch 188 | Train 0.026537 | Val 0.031674 | Pred 0.017371 | Latent 0.002055 | Recon 0.012248
Epoch 189 | Train 0.026351 | Val 0.032505 | Pred 0.017490 | Latent 0.002070 | Recon 0.012945
Epoch 190 | Train 0.026397 | Val 0.032931 | Pred 0.017943 | Latent 0.002456 | Recon 0.012532
Epoch 191 | Train 0.026347 | Val 0.030486 | Pred 0.016652 | Latent 0.002044 | Recon 0.011791
Epoch 192 | Train 0.025670 | Val 0.033563 | Pred 0.017724 | Latent 0.002261 | Recon 0.013577
Epoch 193 | Train 0.026522 | Val 0.040907 | Pred 0.023855 | Latent 0.002599 | Recon 0.014453
Epoch 194 | Train 0.028688 | Val 0.030216 | Pred 0.016350 | Latent 0.001938 | Recon 0.011928
Epoch 195 | Train 0.024892 | Val 0.031505 | Pred 0.017630 | Latent 0.002118 | Recon 0.011757
Epoch 196 | Train 0.026062 | Val 0.036123 | Pred 0.020202 | Latent 0.002046 | Recon 0.013875
Epoch 197 | Train 0.026090 | Val 0.030472 | Pred 0.016554 | Latent 0.001982 | Recon 0.011936
Epoch 198 | Train 0.025438 | Val 0.030775 | Pred 0.016497 | Latent 0.002144 | Recon 0.012134
Epoch 199 | Train 0.025302 | Val 0.029602 | Pred 0.016125 | Latent 0.002075 | Recon 0.011401
Epoch 200 | Train 0.024608 | Val 0.031562 | Pred 0.017260 | Latent 0.001954 | Recon 0.012349
Epoch 201 | Train 0.024843 | Val 0.031778 | Pred 0.017408 | Latent 0.002004 | Recon 0.012366
Epoch 202 | Train 0.025104 | Val 0.029793 | Pred 0.016467 | Latent 0.002043 | Recon 0.011283
Epoch 203 | Train 0.025604 | Val 0.031949 | Pred 0.017387 | Latent 0.002241 | Recon 0.012321
Epoch 204 | Train 0.025713 | Val 0.029055 | Pred 0.015927 | Latent 0.001928 | Recon 0.011200
Epoch 205 | Train 0.024162 | Val 0.030068 | Pred 0.016192 | Latent 0.001922 | Recon 0.011955
Epoch 206 | Train 0.023962 | Val 0.029925 | Pred 0.015976 | Latent 0.001958 | Recon 0.011990
Epoch 207 | Train 0.024694 | Val 0.030122 | Pred 0.016780 | Latent 0.002072 | Recon 0.011270
Epoch 208 | Train 0.025022 | Val 0.034162 | Pred 0.019119 | Latent 0.002178 | Recon 0.012866
Epoch 209 | Train 0.026117 | Val 0.031158 | Pred 0.017407 | Latent 0.002072 | Recon 0.011679
Epoch 210 | Train 0.025171 | Val 0.031907 | Pred 0.018171 | Latent 0.002095 | Recon 0.011642
Epoch 211 | Train 0.025071 | Val 0.029489 | Pred 0.015726 | Latent 0.001966 | Recon 0.011797
Epoch 212 | Train 0.023914 | Val 0.029966 | Pred 0.016496 | Latent 0.002008 | Recon 0.011462
Epoch 213 | Train 0.024897 | Val 0.033264 | Pred 0.018757 | Latent 0.002194 | Recon 0.012313
Epoch 214 | Train 0.024642 | Val 0.029703 | Pred 0.016353 | Latent 0.001830 | Recon 0.011520
Epoch 215 | Train 0.024082 | Val 0.029413 | Pred 0.016182 | Latent 0.001938 | Recon 0.011293
Epoch 216 | Train 0.023767 | Val 0.030915 | Pred 0.017328 | Latent 0.001970 | Recon 0.011618
Epoch 217 | Train 0.024100 | Val 0.030431 | Pred 0.016876 | Latent 0.001866 | Recon 0.011689
Epoch 218 | Train 0.024816 | Val 0.029688 | Pred 0.016495 | Latent 0.001860 | Recon 0.011333
Epoch 219 | Train 0.023967 | Val 0.030027 | Pred 0.016806 | Latent 0.001927 | Recon 0.011293
Epoch 220 | Train 0.024366 | Val 0.029740 | Pred 0.016290 | Latent 0.002058 | Recon 0.011392
Epoch 221 | Train 0.023881 | Val 0.029441 | Pred 0.015797 | Latent 0.001969 | Recon 0.011675
Epoch 222 | Train 0.024074 | Val 0.029185 | Pred 0.015939 | Latent 0.001937 | Recon 0.011310
Epoch 223 | Train 0.023686 | Val 0.029843 | Pred 0.016480 | Latent 0.001846 | Recon 0.011517
Epoch 224 | Train 0.023644 | Val 0.031713 | Pred 0.017813 | Latent 0.002051 | Recon 0.011849
Epoch 225 | Train 0.024980 | Val 0.027243 | Pred 0.014779 | Latent 0.001784 | Recon 0.010680
Epoch 226 | Train 0.022476 | Val 0.029695 | Pred 0.015941 | Latent 0.001964 | Recon 0.011791
Epoch 227 | Train 0.023516 | Val 0.029760 | Pred 0.016592 | Latent 0.001913 | Recon 0.011255
Epoch 228 | Train 0.023682 | Val 0.029413 | Pred 0.015709 | Latent 0.001942 | Recon 0.011763
Epoch 229 | Train 0.023564 | Val 0.028713 | Pred 0.015587 | Latent 0.002011 | Recon 0.011115
Epoch 230 | Train 0.023390 | Val 0.029250 | Pred 0.016006 | Latent 0.001810 | Recon 0.011434
Epoch 231 | Train 0.023222 | Val 0.027023 | Pred 0.014693 | Latent 0.001784 | Recon 0.010547
Epoch 232 | Train 0.022668 | Val 0.027324 | Pred 0.014858 | Latent 0.001801 | Recon 0.010666
Epoch 233 | Train 0.022601 | Val 0.028484 | Pred 0.015716 | Latent 0.001922 | Recon 0.010847
